,region,land_use,total_suitability
1,Auckland,Apple,Suitable - already grown
2,Auckland,Apricot,Suitable - already grown
3,Auckland,Arable Crop,Not enough information to exclude
4,Auckland,Avocado,Suitable - already grown
5,Auckland,Barley,Not enough information to exclude
6,Auckland,Barley (grain),Not enough information to exclude
7,Auckland,Beetroot,Not enough information to exclude
8,Auckland,Blueberry,Suitable - already grown
9,Auckland,Blueberry (HyperFarm),Not enough information to exclude
10,Auckland,Broccoli,Not enough information to exclude
11,Auckland,Cabbage,Not enough information to exclude
12,Auckland,Carrot,Not enough information to exclude
13,Auckland,Cauliflower,Not enough information to exclude
14,Auckland,Cherry (CL),Suitable - already grown
15,Auckland,Cherry (HyperFarm),Not enough information to exclude
16,Auckland,Cherry (UFO),Suitable - already grown
17,Auckland,Chestnut (Placeholder),Not enough information to exclude
18,Auckland,Commercial Forest,Not enough information to exclude
19,Auckland,Dairy,Not enough information to exclude
20,Auckland,Dairy Goat,Not enough information to exclude
21,Auckland,Field Pea,Not enough information to exclude
22,Auckland,Forage Oat,Not enough information to exclude
23,Auckland,Grape,Suitable - already grown
24,Auckland,Honey-Manuka (Placeholder),Not enough information to exclude
25,Auckland,Hops,Suitable - already grown
26,Auckland,Kale,Not enough information to exclude
27,Auckland,Kiwifruit (Gold),Suitable - already grown
28,Auckland,Kiwifruit (Green),Suitable - already grown
29,Auckland,Kiwifruit (HyperFarm),Not enough information to exclude
30,Auckland,Lemon (Meyer),Suitable - already grown
31,Auckland,Lemon (Yen Ben),Suitable - already grown
32,Auckland,Lettuce,Not enough information to exclude
33,Auckland,Macadamia,Suitable - already grown
34,Auckland,Maize,Suitable - WWO
35,Auckland,Mandarin (Encore),Suitable - already grown
36,Auckland,Mandarin (Satsuma),Suitable - already grown
37,Auckland,Native Bush,Not enough information to exclude
38,Auckland,Native regen (Placeholder),Not enough information to exclude
39,Auckland,Nectarine,Suitable - already grown
40,Auckland,Onion,Suitable - already grown
41,Auckland,Orange (Navel),Suitable - already grown
42,Auckland,Orange (Valencia),Suitable - already grown
43,Auckland,Pea,Not enough information to exclude
44,Auckland,Peach,Suitable - already grown
45,Auckland,Potato (Fresh Potato),Suitable - already grown
46,Auckland,Potato (Process Potato),Suitable - already grown
47,Auckland,Potato (Seed Potato),Not enough information to exclude
48,Auckland,Potato (Summer Potato),Not enough information to exclude
49,Auckland,Ryegrass Seed,Not enough information to exclude
50,Auckland,Sheep/beef,Not enough information to exclude
51,Auckland,Spinach,Not enough information to exclude
52,Auckland,Squash,Suitable - already grown
53,Auckland,Sweetcorn,Not enough information to exclude
54,Auckland,Tomato,Not enough information to exclude
55,Auckland,Truffle (Placeholder),Not enough information to exclude
56,Auckland,Vining Pea,Suitable - WWO
57,Auckland,Wheat,Suitable - WWO
58,Bay of Plenty,Apple,Suitable - already grown
59,Bay of Plenty,Apricot,Suitable - already grown
60,Bay of Plenty,Arable Crop,Not enough information to exclude
61,Bay of Plenty,Avocado,Suitable - already grown
62,Bay of Plenty,Barley,Not enough information to exclude
63,Bay of Plenty,Barley (grain),Not enough information to exclude
64,Bay of Plenty,Beetroot,Not enough information to exclude
65,Bay of Plenty,Blueberry,Suitable - already grown
66,Bay of Plenty,Blueberry (HyperFarm),Not enough information to exclude
67,Bay of Plenty,Broccoli,Not enough information to exclude
68,Bay of Plenty,Cabbage,Not enough information to exclude
69,Bay of Plenty,Carrot,Not enough information to exclude
70,Bay of Plenty,Cauliflower,Not enough information to exclude
71,Bay of Plenty,Cherry (CL),Suitable - already grown
72,Bay of Plenty,Cherry (HyperFarm),Not enough information to exclude
73,Bay of Plenty,Cherry (UFO),Suitable - already grown
74,Bay of Plenty,Chestnut (Placeholder),Not enough information to exclude
75,Bay of Plenty,Commercial Forest,Not enough information to exclude
76,Bay of Plenty,Dairy,Not enough information to exclude
77,Bay of Plenty,Dairy Goat,Not enough information to exclude
78,Bay of Plenty,Field Pea,Not enough information to exclude
79,Bay of Plenty,Forage Oat,Not enough information to exclude
80,Bay of Plenty,Grape,Suitable - already grown
81,Bay of Plenty,Honey-Manuka (Placeholder),Not enough information to exclude
82,Bay of Plenty,Hops,Suitable - already grown
83,Bay of Plenty,Kale,Not enough information to exclude
84,Bay of Plenty,Kiwifruit (Gold),Suitable - already grown
85,Bay of Plenty,Kiwifruit (Green),Suitable - already grown
86,Bay of Plenty,Kiwifruit (HyperFarm),Not enough information to exclude
87,Bay of Plenty,Lemon (Meyer),Suitable - already grown
88,Bay of Plenty,Lemon (Yen Ben),Suitable - already grown
89,Bay of Plenty,Lettuce,Not enough information to exclude
90,Bay of Plenty,Macadamia,Suitable - already grown
91,Bay of Plenty,Maize,Suitable - WWO
92,Bay of Plenty,Mandarin (Encore),Suitable - already grown
93,Bay of Plenty,Mandarin (Satsuma),Suitable - already grown
94,Bay of Plenty,Native Bush,Not enough information to exclude
95,Bay of Plenty,Native regen (Placeholder),Not enough information to exclude
96,Bay of Plenty,Nectarine,Suitable - already grown
97,Bay of Plenty,Onion,Suitable - already grown
98,Bay of Plenty,Orange (Navel),Suitable - already grown
99,Bay of Plenty,Orange (Valencia),Suitable - already grown
100,Bay of Plenty,Pea,Not enough information to exclude
101,Bay of Plenty,Peach,Suitable - already grown
102,Bay of Plenty,Potato (Fresh Potato),Suitable - already grown
103,Bay of Plenty,Potato (Process Potato),Suitable - already grown
104,Bay of Plenty,Potato (Seed Potato),Not enough information to exclude
105,Bay of Plenty,Potato (Summer Potato),Not enough information to exclude
106,Bay of Plenty,Ryegrass Seed,Not enough information to exclude
107,Bay of Plenty,Sheep/beef,Not enough information to exclude
108,Bay of Plenty,Spinach,Not enough information to exclude
109,Bay of Plenty,Squash,Not enough information to exclude
110,Bay of Plenty,Sweetcorn,Not enough information to exclude
111,Bay of Plenty,Tomato,Not enough information to exclude
112,Bay of Plenty,Truffle (Placeholder),Not enough information to exclude
113,Bay of Plenty,Vining Pea,Suitable - WWO
114,Bay of Plenty,Wheat,Suitable - WWO
115,Canterbury,Apple,Suitable - already grown
116,Canterbury,Apricot,Suitable - already grown
117,Canterbury,Arable Crop,Not enough information to exclude
118,Canterbury,Avocado,Unsuitable
119,Canterbury,Barley,Not enough information to exclude
120,Canterbury,Barley (grain),Not enough information to exclude
121,Canterbury,Beetroot,Suitable - already grown
122,Canterbury,Blueberry,Suitable - already grown
123,Canterbury,Blueberry (HyperFarm),Not enough information to exclude
124,Canterbury,Broccoli,Not enough information to exclude
125,Canterbury,Cabbage,Not enough information to exclude
126,Canterbury,Carrot,Not enough information to exclude
127,Canterbury,Cauliflower,Not enough information to exclude
