"","region","land_use","total_suitability"
"1","Auckland","Apple","Suitable - already grown"
"2","Auckland","Apricot","Suitable - already grown"
"3","Auckland","Avocado","Suitable - already grown"
"4","Auckland","Barley","Not enough information to exclude"
"5","Auckland","Beetroot","Not enough information to exclude"
"6","Auckland","Blueberry","Suitable - already grown"
"7","Auckland","Broad acre vegetable rotation","Not enough information to exclude"
"8","Auckland","Cherry (CL)","Suitable - already grown"
"9","Auckland","Cherry (UFO)","Suitable - already grown"
"10","Auckland","Commercial Forest","Suitable - already grown"
"11","Auckland","Dairy","Suitable - already grown"
"12","Auckland","Field Pea","Not enough information to exclude"
"13","Auckland","Grape","Suitable - already grown"
"14","Auckland","Hops","Suitable - already grown"
"15","Auckland","Kale","Not enough information to exclude"
"16","Auckland","Kiwifruit (Gold)","Suitable - already grown"
"17","Auckland","Kiwifruit (Green)","Suitable - already grown"
"18","Auckland","Lemon (Meyer)","Suitable - already grown"
"19","Auckland","Lemon (Yen Ben)","Suitable - already grown"
"20","Auckland","Macadamia","Suitable - already grown"
"21","Auckland","Maize","Suitable - WWO"
"22","Auckland","Mandarin (Encore)","Suitable - already grown"
"23","Auckland","Mandarin (Satsuma)","Suitable - already grown"
"24","Auckland","Native Bush","Suitable - already grown"
"25","Auckland","Nectarine","Suitable - already grown"
"26","Auckland","Onion","Suitable - already grown"
"27","Auckland","Orange (Navel)","Suitable - already grown"
"28","Auckland","Orange (Valencia)","Suitable - already grown"
"29","Auckland","Peach","Suitable - already grown"
"30","Auckland","Potato (Fresh Potato)","Suitable - already grown"
"31","Auckland","Potato (Process Potato)","Suitable - already grown"
"32","Auckland","Ryegrass Seed","Not enough information to exclude"
"33","Auckland","Sheep/beef","Suitable - already grown"
"34","Auckland","South Island arable rotation","Not enough information to exclude"
"35","Auckland","Squash","Suitable - already grown"
"36","Auckland","Vining Pea","Suitable - WWO"
"37","Auckland","Wheat","Suitable - WWO"
"38","Bay of Plenty","Apple","Suitable - already grown"
"39","Bay of Plenty","Apricot","Suitable - already grown"
"40","Bay of Plenty","Avocado","Suitable - already grown"
"41","Bay of Plenty","Barley","Not enough information to exclude"
"42","Bay of Plenty","Beetroot","Not enough information to exclude"
"43","Bay of Plenty","Blueberry","Suitable - already grown"
"44","Bay of Plenty","Broad acre vegetable rotation","Not enough information to exclude"
"45","Bay of Plenty","Cherry (CL)","Suitable - already grown"
"46","Bay of Plenty","Cherry (UFO)","Suitable - already grown"
"47","Bay of Plenty","Commercial Forest","Suitable - already grown"
"48","Bay of Plenty","Dairy","Suitable - already grown"
"49","Bay of Plenty","Field Pea","Not enough information to exclude"
"50","Bay of Plenty","Grape","Suitable - already grown"
"51","Bay of Plenty","Hops","Suitable - already grown"
"52","Bay of Plenty","Kale","Not enough information to exclude"
"53","Bay of Plenty","Kiwifruit (Gold)","Suitable - already grown"
"54","Bay of Plenty","Kiwifruit (Green)","Suitable - already grown"
"55","Bay of Plenty","Lemon (Meyer)","Suitable - already grown"
"56","Bay of Plenty","Lemon (Yen Ben)","Suitable - already grown"
"57","Bay of Plenty","Macadamia","Suitable - already grown"
"58","Bay of Plenty","Maize","Suitable - WWO"
"59","Bay of Plenty","Mandarin (Encore)","Suitable - already grown"
"60","Bay of Plenty","Mandarin (Satsuma)","Suitable - already grown"
"61","Bay of Plenty","Native Bush","Suitable - already grown"
"62","Bay of Plenty","Nectarine","Suitable - already grown"
"63","Bay of Plenty","Onion","Suitable - already grown"
"64","Bay of Plenty","Orange (Navel)","Suitable - already grown"
"65","Bay of Plenty","Orange (Valencia)","Suitable - already grown"
"66","Bay of Plenty","Peach","Suitable - already grown"
"67","Bay of Plenty","Potato (Fresh Potato)","Suitable - already grown"
"68","Bay of Plenty","Potato (Process Potato)","Suitable - already grown"
"69","Bay of Plenty","Ryegrass Seed","Not enough information to exclude"
"70","Bay of Plenty","Sheep/beef","Suitable - already grown"
"71","Bay of Plenty","South Island arable rotation","Not enough information to exclude"
"72","Bay of Plenty","Squash","Not enough information to exclude"
"73","Bay of Plenty","Vining Pea","Suitable - WWO"
"74","Bay of Plenty","Wheat","Suitable - WWO"
"75","Canterbury","Apple","Suitable - already grown"
"76","Canterbury","Apricot","Suitable - already grown"
"77","Canterbury","Avocado","Unsuitable"
"78","Canterbury","Barley","Not enough information to exclude"
"79","Canterbury","Beetroot","Suitable - already grown"
"80","Canterbury","Blueberry","Suitable - already grown"
"81","Canterbury","Broad acre vegetable rotation","Unsuitable"
"82","Canterbury","Cherry (CL)","Suitable - already grown"
"83","Canterbury","Cherry (UFO)","Suitable - already grown"
"84","Canterbury","Commercial Forest","Suitable - already grown"
"85","Canterbury","Dairy","Suitable - already grown"
"86","Canterbury","Field Pea","Suitable - already grown"
"87","Canterbury","Grape","Suitable - already grown"
"88","Canterbury","Hops","Suitable - already grown"
"89","Canterbury","Kale","Not enough information to exclude"
"90","Canterbury","Kiwifruit (Gold)","Suitable - WWO"
"91","Canterbury","Kiwifruit (Green)","Unsuitable"
"92","Canterbury","Lemon (Meyer)","Suitable - already grown"
"93","Canterbury","Lemon (Yen Ben)","Suitable - already grown"
"94","Canterbury","Macadamia","Suitable - already grown"
"95","Canterbury","Maize","Unsuitable"
"96","Canterbury","Mandarin (Encore)","Suitable - already grown"
"97","Canterbury","Mandarin (Satsuma)","Suitable - already grown"
"98","Canterbury","Native Bush","Suitable - already grown"
"99","Canterbury","Nectarine","Suitable - already grown"
"100","Canterbury","Onion","Suitable - already grown"
"101","Canterbury","Orange (Navel)","Suitable - already grown"
"102","Canterbury","Orange (Valencia)","Suitable - already grown"
"103","Canterbury","Peach","Suitable - already grown"
"104","Canterbury","Potato (Fresh Potato)","Suitable - already grown"
"105","Canterbury","Potato (Process Potato)","Suitable - already grown"
"106","Canterbury","Ryegrass Seed","Not enough information to exclude"
"107","Canterbury","Sheep/beef","Suitable - already grown"
"108","Canterbury","South Island arable rotation","Not enough information to exclude"
"109","Canterbury","Squash","Suitable - already grown"
"110","Canterbury","Vining Pea","Suitable - already grown"
"111","Canterbury","Wheat","Suitable - WWO"
"112","Gisborne","Apple","Suitable - already grown"
"113","Gisborne","Apricot","Suitable - already grown"
"114","Gisborne","Avocado","Suitable - already grown"
"115","Gisborne","Barley","Not enough information to exclude"
"116","Gisborne","Beetroot","Not enough information to exclude"
"117","Gisborne","Blueberry","Suitable - already grown"
"118","Gisborne","Broad acre vegetable rotation","Not enough information to exclude"
"119","Gisborne","Cherry (CL)","Suitable - already grown"
"120","Gisborne","Cherry (UFO)","Suitable - already grown"
"121","Gisborne","Commercial Forest","Suitable - already grown"
