rotation,month,land_use,hours_ha
arable,1,Fallow,NA
arable,2,Ryegrass,1.0241749999999998
arable,3,Ryegrass,1.0241749999999998
arable,4,Ryegrass,1.0241749999999998
arable,5,Ryegrass,1.0241749999999998
arable,6,Ryegrass,1.0241749999999998
arable,7,Ryegrass,1.0241749999999998
arable,8,Ryegrass,1.0241749999999998
arable,9,Ryegrass,1.0241749999999998
arable,10,Ryegrass,1.0241749999999998
arable,11,Ryegrass,1.0241749999999998
arable,12,Ryegrass,1.0241749999999998
arable,13,Ryegrass,1.0241749999999998
arable,14,Ryegrass,1.0241749999999998
arable,15,Ryegrass,1.0241749999999998
arable,16,Ryegrass,1.0241749999999998
arable,17,Ryegrass,1.0241749999999998
arable,18,Ryegrass,1.0241749999999998
arable,19,Ryegrass,1.0241749999999998
arable,20,Potato (Fresh Potato),22.32
arable,21,Potato (Fresh Potato),2.28
arable,22,Potato (Fresh Potato),2.28
arable,23,Potato (Fresh Potato),2.28
arable,24,Potato (Fresh Potato),2.28
arable,25,Potato (Fresh Potato),20.8
arable,26,Fallow,NA
arable,27,Wheat,4.859999999999999
arable,28,Wheat,0.2515
arable,29,Wheat,0.2515
arable,30,Wheat,0.2515
arable,31,Wheat,0.2515
arable,32,Wheat,0.2515
arable,33,Wheat,0.2515
arable,34,Wheat,0.2515
arable,35,Wheat,0.2515
arable,36,Wheat,2
arable,37,Fallow,NA
arable,38,Ryegrass,1.0241749999999998
arable,39,Ryegrass,1.0241749999999998
arable,40,Ryegrass,1.0241749999999998
arable,41,Ryegrass,1.0241749999999998
arable,42,Ryegrass,1.0241749999999998
arable,43,Ryegrass,1.0241749999999998
arable,44,Ryegrass,1.0241749999999998
arable,45,Ryegrass,1.0241749999999998
arable,46,Ryegrass,1.0241749999999998
arable,47,Ryegrass,1.0241749999999998
arable,48,Ryegrass,1.0241749999999998
arable,49,Ryegrass,1.0241749999999998
arable,50,Ryegrass,1.0241749999999998
arable,51,Ryegrass,1.0241749999999998
arable,52,Ryegrass,1.0241749999999998
arable,53,Ryegrass,1.0241749999999998
arable,54,Ryegrass,1.0241749999999998
arable,55,Ryegrass,1.0241749999999998
arable,56,Fallow,NA
arable,57,Onion,17.35
arable,58,Onion,0.7999999999999999
arable,59,Onion,0.7999999999999999
arable,60,Onion,0.7999999999999999
arable,61,Onion,3.6
arable,62,Oats,4.86
arable,63,Oats,1.005
arable,64,Oats,1.005
arable,65,Oats,2
arable,66,Barley,4.1868
arable,67,Barley,0.190496
arable,68,Barley,0.190496
arable,69,Barley,0.190496
arable,70,Barley,0.190496
arable,71,Barley,0.190496
arable,72,Barley,3.184
vegetable,1,Ryegrass,1.0241749999999998
vegetable,2,Ryegrass,1.0241749999999998
vegetable,3,Ryegrass,1.0241749999999998
vegetable,4,Ryegrass,1.0241749999999998
vegetable,5,Ryegrass,1.0241749999999998
vegetable,6,Ryegrass,1.0241749999999998
vegetable,7,Ryegrass,1.0241749999999998
vegetable,8,Squash,13.2
vegetable,9,Squash,1.16
vegetable,10,Squash,1.16
vegetable,11,Squash,1.16
vegetable,12,Squash,1.16
vegetable,13,Squash,56
vegetable,14,Ryegrass,1.0241749999999998
vegetable,15,Ryegrass,1.0241749999999998
vegetable,16,Ryegrass,1.0241749999999998
vegetable,17,Ryegrass,1.0241749999999998
vegetable,18,Ryegrass,1.0241749999999998
vegetable,19,Onion,17.35
vegetable,20,Onion,0.6
vegetable,21,Onion,0.6
vegetable,22,Onion,0.6
vegetable,23,Onion,0.6
vegetable,24,Onion,3.6
vegetable,25,Ryegrass,1.0241749999999998
vegetable,26,Ryegrass,1.0241749999999998
vegetable,27,Ryegrass,1.0241749999999998
vegetable,28,Ryegrass,1.0241749999999998
vegetable,29,Ryegrass,1.0241749999999998
vegetable,30,Ryegrass,1.0241749999999998
vegetable,31,Beetroot,17.6
vegetable,32,Beetroot,2.4
vegetable,33,Beetroot,2.4
vegetable,34,Beetroot,2.4
vegetable,35,Beetroot,2.4
vegetable,36,Beetroot,9.6
vegetable,37,Fallow,NA
vegetable,38,Wheat,4.859999999999999
vegetable,39,Wheat,0.503
vegetable,40,Wheat,0.503
vegetable,41,Wheat,0.503
vegetable,42,Wheat,0.503
vegetable,43,Wheat,2
vegetable,44,Maize,1
vegetable,45,Maize,0.544
vegetable,46,Maize,2
vegetable,47,Vining Pea,4.4
vegetable,48,Vining Pea,1.2
