combination_id,score_to_min,land_use_1,land_use_2,land_use_3,land_use_4
00001,0.39269192672604836,Sheep/beef,Dairy,Commercial Forest,Native Bush
00002,0.25441663962724514,Sheep/beef,Dairy,Commercial Forest,Hops
00003,0.13358698736599872,Sheep/beef,Dairy,Commercial Forest,Macadamia
00004,0.25407027258756504,Sheep/beef,Dairy,Commercial Forest,Peach
00005,0.25407027258756504,Sheep/beef,Dairy,Commercial Forest,Nectarine
00006,0.253717208051063,Sheep/beef,Dairy,Commercial Forest,Apricot
00007,0.10324784169593729,Sheep/beef,Dairy,Commercial Forest,Orange (Navel)
00008,0.26963786769958187,Sheep/beef,Dairy,Commercial Forest,Orange (Valencia)
00009,0.2332119491316073,Sheep/beef,Dairy,Commercial Forest,Mandarin (Encore)
00010,0.21801399951039732,Sheep/beef,Dairy,Commercial Forest,Mandarin (Satsuma)
00011,0.1197727161980795,Sheep/beef,Dairy,Commercial Forest,Lemon (Meyer)
00012,0.10957064941071172,Sheep/beef,Dairy,Commercial Forest,Grape
00013,0.25589093687448483,Sheep/beef,Dairy,Commercial Forest,Apple
00014,0.13203019528914844,Sheep/beef,Dairy,Commercial Forest,Avocado
00015,0.2572507592121451,Sheep/beef,Dairy,Commercial Forest,Lemon (Yen Ben)
00016,0.38339815609758343,Sheep/beef,Dairy,Commercial Forest,Blueberry
00017,0.4741731104082958,Sheep/beef,Dairy,Commercial Forest,Cherry (UFO)
00018,0.5018332649216759,Sheep/beef,Dairy,Commercial Forest,Cherry (CL)
00019,0.22940931897538075,Sheep/beef,Dairy,Commercial Forest,Kiwifruit (Gold)
00020,0.19251155629305192,Sheep/beef,Dairy,Commercial Forest,Kiwifruit (Green)
00021,0.2845475914198631,Sheep/beef,Dairy,Commercial Forest,Onion
00022,0.35963030680945157,Sheep/beef,Dairy,Commercial Forest,Squash
00023,0.35781441070222003,Sheep/beef,Dairy,Commercial Forest,Wheat
00024,0.30127179012050814,Sheep/beef,Dairy,Commercial Forest,Vining Pea
00025,0.18577556113221572,Sheep/beef,Dairy,Commercial Forest,Field Pea
00026,0.3771489639175386,Sheep/beef,Dairy,Commercial Forest,Maize
00027,0.13146423345728853,Sheep/beef,Dairy,Commercial Forest,Ryegrass Seed
00028,0.3369556051454863,Sheep/beef,Dairy,Commercial Forest,Kale
00029,0.3226101280830202,Sheep/beef,Dairy,Commercial Forest,Barley
00030,0.19031957436669392,Sheep/beef,Dairy,Commercial Forest,South Island arable rotation
00031,0.27308795991374446,Sheep/beef,Dairy,Commercial Forest,Broad acre vegetable rotation
00032,0.38923420653229557,Sheep/beef,Dairy,Native Bush,Hops
00033,0.37881016002967194,Sheep/beef,Dairy,Native Bush,Macadamia
00034,0.5371063185053377,Sheep/beef,Dairy,Native Bush,Peach
00035,0.5371063185053377,Sheep/beef,Dairy,Native Bush,Nectarine
00036,0.5757665731685336,Sheep/beef,Dairy,Native Bush,Apricot
00037,0.3897750041154469,Sheep/beef,Dairy,Native Bush,Orange (Navel)
00038,0.6090034273596183,Sheep/beef,Dairy,Native Bush,Orange (Valencia)
00039,0.5635838012710246,Sheep/beef,Dairy,Native Bush,Mandarin (Encore)
00040,0.306711424137122,Sheep/beef,Dairy,Native Bush,Mandarin (Satsuma)
00041,0.4192907747742789,Sheep/beef,Dairy,Native Bush,Lemon (Meyer)
00042,0.3279818737996908,Sheep/beef,Dairy,Native Bush,Grape
00043,0.3674460132937586,Sheep/beef,Dairy,Native Bush,Apple
00044,0.41523271829121766,Sheep/beef,Dairy,Native Bush,Avocado
